Immagine,R2 URL,Prodotto ID,Prodotto Nome,SKU,Match Type,Confidence
"951063000.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/951063000.jpg","","","","unmatched","none"
"ac9e766b-2c1c-453e-9427-1485ba9fc4f8.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/ac9e766b-2c1c-453e-9427-1485ba9fc4f8.jpg","","","","unmatched","none"
"c74388ab-4a16-480c-8e0f-f5b925078fd4.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/c74388ab-4a16-480c-8e0f-f5b925078fd4.jpg","","","","unmatched","none"
"de4cec90-2c8c-4656-a415-1dc4416ad59c.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/de4cec90-2c8c-4656-a415-1dc4416ad59c.jpg","","","","unmatched","none"
"MOTORIDUTTORE MELLOR T14 – 5 RPM (2).jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/motoriduttore-mellor-t14-5-rpm-2.jpg","10","MOTORIDUTTORE MELLOR T14 – 5 RPM","NULL","name-exact","high"
"MOTORIDUTTORE MELLOR T14 – 5 RPM.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/motoriduttore-mellor-t14-5-rpm.jpg","10","MOTORIDUTTORE MELLOR T14 – 5 RPM","NULL","name-exact","high"
"MOTORIDUTTORE PER STUFE A PELLET MELLOR 1,26 RPM.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/motoriduttore-per-stufe-a-pellet-mellor-1-26-rpm.jpg","14","MOTORIDUTTORE PER STUFE A PELLET MELLOR 4 RPM","NULL","name-partial","medium"
"MOTORIDUTTORE PER STUFE A PELLET MELLOR 1,5 RPM.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/motoriduttore-per-stufe-a-pellet-mellor-1-5-rpm.jpg","14","MOTORIDUTTORE PER STUFE A PELLET MELLOR 4 RPM","NULL","name-partial","medium"
"MOTORIDUTTORE PER STUFE A PELLET MELLOR 2 RPM.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/motoriduttore-per-stufe-a-pellet-mellor-2-rpm.jpg","14","MOTORIDUTTORE PER STUFE A PELLET MELLOR 4 RPM","NULL","name-partial","medium"
"MOTORIDUTTORE PER STUFE A PELLET MELLOR 3 RPM.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/motoriduttore-per-stufe-a-pellet-mellor-3-rpm.jpg","14","MOTORIDUTTORE PER STUFE A PELLET MELLOR 4 RPM","NULL","name-partial","medium"
"MOTORIDUTTORE PER STUFE A PELLET MELLOR 4 RPM.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/motoriduttore-per-stufe-a-pellet-mellor-4-rpm.jpg","14","MOTORIDUTTORE PER STUFE A PELLET MELLOR 4 RPM","NULL","name-exact","high"
"motoriduttore-per-stufe-a-pellet-mellor-3-rpm-con-sensore-di-giri (1).jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/motoriduttore-per-stufe-a-pellet-mellor-3-rpm-con-sensore-di-giri-1.jpg","122","MOTORE COCLEA PER STUFE A PELLET  3 RPM CON SENSORE GIRI","NULL","name-partial","medium"
"motoriduttore-per-stufe-a-pellet-mellor-3-rpm-con-sensore-di-giri.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/motoriduttore-per-stufe-a-pellet-mellor-3-rpm-con-sensore-di-giri.jpg","122","MOTORE COCLEA PER STUFE A PELLET  3 RPM CON SENSORE GIRI","NULL","name-partial","medium"
"motoriduttore-per-stufe-a-pellet-mellor-3.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/motoriduttore-per-stufe-a-pellet-mellor-3.jpg","14","MOTORIDUTTORE PER STUFE A PELLET MELLOR 4 RPM","NULL","name-partial","medium"
"WhatsApp Image 2017-07-03 at 11.39.06.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/whatsapp-image-2017-07-03-at-11-39-06.jpeg","","","","unmatched","none"
"WhatsApp Image 2017-07-03 at 11.39.09.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/whatsapp-image-2017-07-03-at-11-39-09.jpeg","","","","unmatched","none"
"WhatsApp Image 2017-07-03 at 11.39.12.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/whatsapp-image-2017-07-03-at-11-39-12.jpeg","","","","unmatched","none"
"WhatsApp Image 2017-07-03 at 11.39.16.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/whatsapp-image-2017-07-03-at-11-39-16.jpeg","","","","unmatched","none"
"WhatsApp Image 2017-07-03 at 11.39.19.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/whatsapp-image-2017-07-03-at-11-39-19.jpeg","","","","unmatched","none"
"WhatsApp Image 2017-07-03 at 11.39.22.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/whatsapp-image-2017-07-03-at-11-39-22.jpeg","","","","unmatched","none"
"WhatsApp Image 2018-06-14 at 10.55.40.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/whatsapp-image-2018-06-14-at-10-55-40.jpeg","","","","unmatched","none"
"WhatsApp Image 2018-06-14 at 10.55.52 (1).jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/whatsapp-image-2018-06-14-at-10-55-52-1.jpeg","","","","unmatched","none"
"WhatsApp Image 2018-06-14 at 10.55.52.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/whatsapp-image-2018-06-14-at-10-55-52.jpeg","","","","unmatched","none"
"WhatsApp Image 2019-05-29 at 11.15.19.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/whatsapp-image-2019-05-29-at-11-15-19.jpeg","","","","unmatched","none"
"WhatsApp Image 2019-05-29 at 11.15.34.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/whatsapp-image-2019-05-29-at-11-15-34.jpeg","","","","unmatched","none"
"WhatsApp Image 2022-10-25 at 11.48.58.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/whatsapp-image-2022-10-25-at-11-48-58.jpeg","","","","unmatched","none"
"WhatsApp Image 2022-10-25 at 11.49.12.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/whatsapp-image-2022-10-25-at-11-49-12.jpeg","","","","unmatched","none"
"WhatsApp Image 2019-05-29 at 09.28.19.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/pompe-sensori/whatsapp-image-2019-05-29-at-09-28-19.jpeg","","","","unmatched","none"
"WhatsApp Image 2019-05-29 at 09.28.45.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/pompe-sensori/whatsapp-image-2019-05-29-at-09-28-45.jpeg","","","","unmatched","none"
"WhatsApp Image 2019-05-30 at 09.40.03.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/pompe-sensori/whatsapp-image-2019-05-30-at-09-40-03.jpeg","","","","unmatched","none"
"WhatsApp Image 2019-05-30 at 09.40.13.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/pompe-sensori/whatsapp-image-2019-05-30-at-09-40-13.jpeg","","","","unmatched","none"
"WhatsApp Image 2019-05-30 at 09.40.22.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/pompe-sensori/whatsapp-image-2019-05-30-at-09-40-22.jpeg","","","","unmatched","none"
"WhatsApp Image 2019-05-30 at 09.40.34.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/pompe-sensori/whatsapp-image-2019-05-30-at-09-40-34.jpeg","","","","unmatched","none"
"WhatsApp Image 2019-05-30 at 09.40.46.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/pompe-sensori/whatsapp-image-2019-05-30-at-09-40-46.jpeg","","","","unmatched","none"
"177.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/177.jpg","","","","unmatched","none"
"179-small_default.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/179-small-default.jpg","","","","unmatched","none"
"2016_DZG_Catalogue_IT2 (004).jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/2016-dzg-catalogue-it2-004.jpg","","","","unmatched","none"
"20250317_101606.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/20250317-101606.jpg","","","","unmatched","none"
"20250317_101627.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/20250317-101627.jpg","","","","unmatched","none"
"31Gy3cFst9L._SX355_.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/31gy3cfst9l-sx355.jpg","","","","unmatched","none"
"351.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/351.jpg","","","","unmatched","none"
"358.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/358.jpg","","","","unmatched","none"
"359.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/359.jpg","","","","unmatched","none"
"candela quarzo.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/candela-quarzo.jpg","","","","unmatched","none"
"GOPR0144.JPG","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/gopr0144.jpg","","","","unmatched","none"
"IMG_20161014_174318.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/img-20161014-174318.jpg","","","","unmatched","none"
"IMG_20170110_101514.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/img-20170110-101514.jpg","","","","unmatched","none"
"IMG_20170110_101529.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/img-20170110-101529.jpg","","","","unmatched","none"
"KH67053.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/kh67053.jpg","116","CANDELA CERAMICA 230W Ø 11,55 230V RACC. 3/8"","KH67053","sku","high"
"RESISTENZA CERAMICA ATTACCO 38.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/resistenza-ceramica-attacco-38.jpg","51","RESISTENZA CERAMICA ATTACCO 3/8","NULL","name-partial","medium"
"RESISTENZA ELETTRICA Ø 12,5 mm LUNG.85 mm HT68027.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/resistenza-elettrica-12-5-mm-lung-85-mm-ht68027.jpg","65","RESISTENZA ELETTRICA Ø 12,5 mm LUNG.85 mm HT68027","HT68027","sku","high"
"RESISTENZA ELETTRICA Ø 12,5 mm LUNGH.100 mm.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/resistenza-elettrica-12-5-mm-lungh-100-mm.jpg","24","RESISTENZA ELETTRICA Ø 12,5 mm LUNGH.100 mm","NULL","name-exact","high"
"RESISTENZA ELETTRICA Ø 12,5 mm LUNGH.160 mm.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/resistenza-elettrica-12-5-mm-lungh-160-mm.jpg","61","RESISTENZA ELETTRICA Ø 12,5 mm LUNGH.160 mm","HT62706","name-exact","high"
"RESISTENZA ELETTRICA Ø 12,5 mm LUNGH.160MM ATTACCO A FILETTO 38.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/resistenza-elettrica-12-5-mm-lungh-160mm-attacco-a-filetto-38.jpg","59","RESISTENZA ELETTRICA Ø 12,5 mm LUNGH.160mm 350w ATTACCO A FILETTO 1/2","HT62663","name-partial","medium"
"RESISTENZA ELETTRICA Ø 12,5 mm.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/resistenza-elettrica-12-5-mm.jpg","26","RESISTENZA ELETTRICA Ø 12,5 mm","HT62705","name-exact","high"
"RESISTENZA ELETTRICA Ø 16 mm LUNGH.120 mm.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/resistenza-elettrica-16-mm-lungh-120-mm.jpg","62","RESISTENZA ELETTRICA Ø 16 mm LUNGH.120 mm","HT62708","name-exact","high"
