id,product_id,image_url,sort_order,alt_text,created_at
219,59,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/resistenza-elettrica-12-5-mm-lungh-160mm-attacco-a-filetto-38.jpg,0,"RESISTENZA ELETTRICA Ø 12,5 mm LUNGH.160mm 350w ATTACCO A FILETTO 1/2",2026-04-02 10:47:43.291149+00
220,60,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/resistenza-elettrica-9-5-mm-lungh-188-mm-esecuzione-dritta.jpg,0,"RESISTENZA ELETTRICA Ø 9,5 mm LUNGH.188 MM  ESECUZIONE DRITTA",2026-04-02 10:47:43.442313+00
221,61,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/resistenza-elettrica-12-5-mm-lungh-160-mm.jpg,0,"RESISTENZA ELETTRICA Ø 12,5 mm LUNGH.160 mm",2026-04-02 10:47:43.592912+00
222,62,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/resistenza-elettrica-16-mm-lungh-120-mm.jpg,0,RESISTENZA ELETTRICA Ø 16 mm LUNGH.120 mm,2026-04-02 10:47:43.745321+00
223,63,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/resistenza-elettrica-9-9-mm-lungh-155-mm-esecuzione-dritta.jpg,0,"RESISTENZA ELETTRICA Ø 9,9 mm LUNGH.155 MM  ESECUZIONE DRITTA",2026-04-02 10:47:43.891137+00
224,64,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/ventilatori-aria/ventilatore-tangenziale-grande-sx-2.jpg,0,VENTILATORE TANGENZIALE GRANDE SX,2026-04-02 10:47:44.039945+00
225,64,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/ventilatori-aria/ventilatore-tangenziale-grande-sx.jpg,1,VENTILATORE TANGENZIALE GRANDE SX,2026-04-02 10:47:44.191147+00
226,65,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/resistenza-elettrica-12-5-mm-lung-85-mm-ht68027.jpg,0,"RESISTENZA ELETTRICA Ø 12,5 mm LUNG.85 mm HT68027",2026-04-02 10:47:44.270033+00
227,66,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/guarnizioni-silicone/nastro-adesivo-in-fibra-di-vetro-550-c-10mm-x-1mm.jpg,0,NASTRO ADESIVO IN FIBRA DI VETRO 550°C 10mm X 1mm,2026-04-02 10:47:44.425059+00
228,67,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/sonde-depressori-termostati/supporto-depressore.jpg,0,SUPPORTO DEPRESSORE,2026-04-02 10:47:44.570895+00
229,68,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/sonde-depressori-termostati/termostato-di-sicurezza-a-riarmo-manuale-80.jpg,0,TERMOSTATO DI SICUREZZA A RIARMO MANUALE 80°,2026-04-02 10:47:44.719341+00
230,69,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/sonde-depressori-termostati/termostato-di-sicurezza-a-riarmo-manuale-100.jpg,0,TERMOSTATO DI SICUREZZA A RIARMO MANUALE 100°,2026-04-02 10:47:44.86901+00
231,70,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/schede-elettroniche-sensori/connettore-scheda-10-poli.jpg,0,CONNETTORE SCHEDA 10 POLI,2026-04-02 10:47:45.016+00
232,71,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/schede-elettroniche-sensori/connettore-scheda-7-poli.jpg,0,CONNETTORE SCHEDA 7 POLI,2026-04-02 10:47:45.166587+00
233,72,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/schede-elettroniche-sensori/connettore-scheda-6-poli.jpg,0,CONNETTORE SCHEDA 6 POLI,2026-04-02 10:47:45.318507+00
234,73,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/schede-elettroniche-sensori/connettore-scheda-4-poli.jpg,0,CONNETTORE SCHEDA 4 POLI,2026-04-02 10:47:45.467148+00
235,74,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/schede-elettroniche-sensori/connettore-scheda-3-poli.jpg,0,CONNETTORE SCHEDA 3 POLI,2026-04-02 10:47:45.620912+00
236,75,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/schede-elettroniche-sensori/connettore-scheda-2-poli.jpg,0,CONNETTORE SCHEDA 2 POLI,2026-04-02 10:47:45.774327+00
237,76,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/schede-elettroniche-sensori/scheda-elettronica-tiemme-sy8p-h01.jpg,0,"SCHEDA ELETTRONICA TIEMME SY8P-H01 ",2026-04-02 10:47:45.921984+00
238,78,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/schede-elettroniche-sensori/sensore-debimetro-con-cavo-ceza-2.jpg,0,SENSORE DEBIMETRO CON CAVO CEZA,2026-04-02 10:47:46.077565+00
239,78,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/schede-elettroniche-sensori/sensore-debimetro-con-cavo-ceza.jpg,1,SENSORE DEBIMETRO CON CAVO CEZA,2026-04-02 10:47:46.236133+00
240,89,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/coclee/coclea-per-stufe-6-9-kw-slim-new-attacco-femmina.jpg,0,COCLEA PER STUFE 6-9 KW SLIM NEW ATTACCO FEMMINA,2026-04-02 10:47:46.312138+00
241,98,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/parafiamma-hydro-2.jpeg,0,PARAFIAMMA STUFE HYDRO,2026-04-02 10:47:46.461426+00
242,98,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/parafiamma-hydro.jpeg,1,PARAFIAMMA STUFE HYDRO,2026-04-02 10:47:46.607577+00
243,110,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/coclee/951044900-boccola-per-coclea-femmina-con-vite-e-dado.png,0,BOCCOLA PER COCLEA FEMMINA,2026-04-02 10:47:46.684232+00
244,116,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/kh67053.jpg,0,"CANDELA CERAMICA 230W Ø 11,55 230V RACC. 3/8""",2026-04-02 10:47:46.828682+00
245,122,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/motoriduttore-per-stufe-a-pellet-mellor-3-rpm-con-sensore-di-giri-1.jpg,0,MOTORE COCLEA PER STUFE A PELLET 3 RPM CON SENSORE GIRI,2026-04-02 10:47:46.970284+00
246,122,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/motoriduttore-per-stufe-a-pellet-mellor-3-rpm-con-sensore-di-giri.jpg,1,MOTORE COCLEA PER STUFE A PELLET 3 RPM CON SENSORE GIRI,2026-04-02 10:47:47.112943+00
247,175,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/braciere-in-ghisa-2.jpg,0,"BRACIERE IN GHISA ",2026-04-02 10:47:47.184042+00
248,175,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/braciere-in-ghisa.jpg,1,"BRACIERE IN GHISA ",2026-04-02 10:47:47.337179+00
249,175,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/misure-braciere-2.png,2,BRACIERE IN GHISA,2026-04-02 10:47:47.421028+00
250,175,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/misure-braciere.png,3,BRACIERE IN GHISA,2026-04-02 10:47:47.495724+00
